figure_id,file_basename,title,plot_family,claim_id,core_claim,paper_role,caption,post_figure_conclusion,risk_note,source_output,validation_status,render_check_status,ai_visual_check,visual_check_note,machine_issues
Q2-01,Q2_01_预测优化闭环模型图,预测优化闭环模型图,机制网络,Q2-C01,历史净负荷预测与同一LP联动形成严格非前视的日前策略。,[AI-DRAFT — modeler must confirm: 模型图（待确认正文位置）],Q2源码对应的预测—计划—执行—结算信息流，红色节点仅用于事后结算。,历史净负荷预测与同一LP联动形成严格非前视的日前策略。,实测数据的执行端与训练端有时间先后；图中不是负荷/光伏双模型。,src/Q2/run_q2.py；src/common/forecasting.py,checked,passed,passed,AI逐张查看150dpi预览；600dpi成图保留尺寸与布局；图例、单位、色标与中文可读。,[]
Q2-02,Q2_02_特征与梯度提升结构图,特征与梯度提升结构图,特征网络,Q2-C02,模型以五个可用历史/日历特征直接预测净负荷。,[AI-DRAFT — modeler must confirm: 模型图（待确认正文位置）],五维特征和HistGradientBoostingRegressor配置。起始评价日训练样本不足30日时使用可用历史。,模型以五个可用历史/日历特征直接预测净负荷。,周内索引为源码日序号mod7，不应误写为已核验的真实星期；未虚构特征重要性或具体树阈值。,src/common/forecasting.py,checked,passed,passed,AI逐张查看150dpi预览；600dpi成图保留尺寸与布局；图例、单位、色标与中文可读。,[]
Q2-03,Q2_03_滚动训练非前视边界图,滚动训练非前视边界图,信息集矩阵,Q2-C03,训练标签严格截至d−1，构造最早训练样本特征时可读取更早历史。,[AI-DRAFT — modeler must confirm: 模型图（待确认正文位置）],常规30日训练窗口及其7日滞后特征；年初可用训练日数不足30时窗口缩短。,训练标签严格截至d−1，构造最早训练样本特征时可读取更早历史。,该图核验源码的索引边界，不是独立的未来数据扰动实验。,src/common/forecasting.py,checked,passed,passed,AI逐张查看150dpi预览；600dpi成图保留尺寸与布局；图例、单位、色标与中文可读。,[]
Q2-04,Q2_04_储能线性规划约束机制图,储能线性规划约束机制图,物理约束网络,Q2-C04,每日LP的状态递推与功率/SOC约束和源码一致，年度末恢复6000kWh。,[AI-DRAFT — modeler must confirm: 模型图（待确认正文位置）],Q2公共调度内核采用电量变量，双向效率各0.9；预测供给使用大于等于不等式。,每日LP的状态递推与功率/SOC约束和源码一致，年度末恢复6000kWh。,日LP最优不等于全年随机优化全局最优；互斥性为逐时后验审计，不是二元约束。,src/common/optimization.py；src/Q2/run_q2.py,checked,passed,passed,AI逐张查看150dpi预览；600dpi成图保留尺寸与布局；图例、单位、色标与中文可读。,[]
Q2-05,Q2_05_全年实际净负荷时空热图,全年实际净负荷时空热图,时空热力图,Q2-C05,全年净负荷具有日内结构与季节差异。,[AI-DRAFT — modeler must confirm: 诊断图],334×144个实测净负荷，净负荷＝小区负荷−光伏发电；显示全部样本。,全年净负荷具有日内结构与季节差异。,仅对应2025年334天非前视回放，不代表多年泛化或全年随机优化理论最优。,data/raw/附件2.xlsx,checked,passed,passed,AI逐张查看150dpi预览；600dpi成图保留尺寸与布局；图例、单位、色标与中文可读。,[]
Q2-06,Q2_06_全年预测残差时空热图,全年预测残差时空热图,残差热力图,Q2-C06,正负预测误差在时间轴上并非完全均匀分布。,[AI-DRAFT — modeler must confirm: 诊断图],M3全量残差，正值表示净负荷欠预测；色轴对称且覆盖全部极值。,正负预测误差在时间轴上并非完全均匀分布。,仅对应2025年334天非前视回放，不代表多年泛化或全年随机优化理论最优。,results/Q2/experiments/round1/tables/net_load_forecasts.npz；data/raw/附件2.xlsx,checked,passed,passed,AI逐张查看150dpi预览；600dpi成图保留尺寸与布局；图例、单位、色标与中文可读。,[]
Q2-07,Q2_07_三模型预测实际联合密度图,三模型预测实际联合密度图,六边形联合密度,Q2-C07,M3预测点云更接近实际值与预测值相等的参考线。,[AI-DRAFT — modeler must confirm: 对比图],三种方法各48096个时段；坐标和对数计数色轴统一，虚线为恒等线。,M3预测点云更接近实际值与预测值相等的参考线。,仅对应2025年334天非前视回放，不代表多年泛化或全年随机优化理论最优。,results/Q2/experiments/round1/tables/net_load_forecasts.npz；data/raw/附件2.xlsx,checked,passed,passed,AI逐张查看150dpi预览；600dpi成图保留尺寸与布局；图例、单位、色标与中文可读。,[]
Q2-08,Q2_08_标准化泰勒图,标准化泰勒图,泰勒图,Q2-C08,相关性、幅度与中心化误差可在同一几何坐标中比较。,[AI-DRAFT — modeler must confirm: 对比图],角度＝相关系数的反余弦；半径＝标准差比；灰线＝中心化RMSE/实际标准差，不包含均值偏差。,相关性、幅度与中心化误差可在同一几何坐标中比较。,泰勒图仅反映中心化误差；完整RMSE仍需结合指标表。,results/Q2/experiments/round1/tables/net_load_forecasts.npz；data/raw/附件2.xlsx,checked,passed,passed,AI逐张查看150dpi预览；600dpi成图保留尺寸与布局；图例、单位、色标与中文可读。,[]
Q2-09,Q2_09_预测残差核密度对比图,预测残差核密度对比图,核密度曲线,Q2-C09,M3残差分布更集中于零附近。,[AI-DRAFT — modeler must confirm: 对比图],各方法48096个残差；Gaussian KDE采用Scott带宽，不进行显著性检验。,M3残差分布更集中于零附近。,KDE为分布平滑展示，细节依赖带宽；样本具有时间依赖。,results/Q2/experiments/round1/tables/net_load_forecasts.npz；data/raw/附件2.xlsx,checked,passed,passed,AI逐张查看150dpi预览；600dpi成图保留尺寸与布局；图例、单位、色标与中文可读。,[]
Q2-10,Q2_10_日内分组残差雨云图,日内分组残差雨云图,半小提琴雨云图,Q2-C10,不同日内时段的残差分布和尾部可独立诊断。,[AI-DRAFT — modeler must confirm: 诊断图],每组12024个残差；半小提琴显示全量KDE，箱线为中位数/IQR及1.5IQR须，散点每组随机展示240个。,不同日内时段的残差分布和尾部可独立诊断。,抽样散点仅为避免遮挡，分布统计使用全部样本；不作独立同分布推断。,results/Q2/experiments/round1/tables/net_load_forecasts.npz；data/raw/附件2.xlsx,checked,passed,passed,AI逐张查看150dpi预览；600dpi成图保留尺寸与布局；图例、单位、色标与中文可读。,[]
