figure_id,file_basename,title,plot_family,claim_id,core_claim,post_figure_conclusion,caption,risk_note,source_output,paper_role,validation_status,render_check_status,ai_visual_check,human_visual_check,machine_issues,visual_check_note
Q4-01,Q4_01_双分支历史价格鲁棒优化闭环,双分支历史价格鲁棒优化闭环,机制拓扑,Q4-C01,[AI-DRAFT — modeler must confirm: 分清Q4-2日前策略与Q4-3滚动策略的价格决策链。],分清Q4-2日前策略与Q4-3滚动策略的价格决策链。,按实际源码展示两个分支，共用物理和结算内核。,紧急费用为事后结算；不是LP的直接目标。,src/Q4/run_q4.py；src/common/forecasting.py、optimization.py、config.py,[AI-DRAFT — modeler must confirm: 诊断图],checked,passed,passed,not_run,[],AI逐张检查150dpi预览，修订后以相同尺寸导出600dpi；不自动冻结论文论断。
Q4-02,Q4_02_价格前缀条件化与七历史情景筛选,价格前缀条件化与七历史情景筛选,信息域示意,Q4-C02,[AI-DRAFT — modeler must confirm: 情景日期严格早于目标日；日内匹配仅使用已知前缀。],情景日期严格早于目标日；日内匹配仅使用已知前缀。,索引严格采用源码0/35/71/107；06/12/18剩余109/73/37个槽。,00:00不使用实际未来轨迹，也未拟合额外价格预测模型。,data/raw/附件4.xlsx；src/common/forecasting.py:historical_price_scenarios,[AI-DRAFT — modeler must confirm: 诊断图],checked,passed,passed,not_run,[],AI逐张检查150dpi预览，修订后以相同尺寸导出600dpi；不自动冻结论文论断。
Q4-03,Q4_03_最坏合同费用上界线性规划结构,最坏合同费用上界线性规划结构,约束机制,Q4-C03,[AI-DRAFT — modeler must confirm: 鲁棒目标是7个历史价格情景的合同费用上界。],鲁棒目标是7个历史价格情景的合同费用上界。,"给出两类LP情景费用约束和共同物理约束；c,d为每槽能量。",未来实际紧急购电不在该LP目标中；解后互斥异常时源码报错，不自动升级MILP。,src/Q4/run_q4.py；src/common/forecasting.py、optimization.py、config.py,[AI-DRAFT — modeler must confirm: 诊断图],checked,passed,passed,not_run,[],AI逐张检查150dpi预览，修订后以相同尺寸导出600dpi；不自动冻结论文论断。
Q4-04,Q4_04_非对称调整合同与紧急结算边界,非对称调整合同与紧急结算边界,分段函数与公式,Q4-C04,[AI-DRAFT — modeler must confirm: 最终增减购相对原计划计费，紧急缺口另按5倍实际电价结算。],最终增减购相对原计划计费，紧急缺口另按5倍实际电价结算。,左图为p、原计划均归一化的单槽合同分段函数。,归一化机制图，不是实验统计或LP的紧急成本目标。,src/Q4/run_q4.py；src/common/forecasting.py、optimization.py、config.py,[AI-DRAFT — modeler must confirm: 诊断图],checked,passed,passed,not_run,[],AI逐张检查150dpi预览，修订后以相同尺寸导出600dpi；不自动冻结论文论断。
Q4-05,Q4_05_全年波动电价日期小时场,全年波动电价日期小时场,时空热图,Q4-C05,[AI-DRAFT — modeler must confirm: 实际电价随日期与日内时段共同变化。],实际电价随日期与日内时段共同变化。,334×144实际价格矩阵，日期顺序未聚类。,实际价格全图用于事后EDA，不表示00:00已知当天价格。,data/raw/附件4.xlsx；src/common/forecasting.py:historical_price_scenarios,[AI-DRAFT — modeler must confirm: 诊断图],checked,passed,passed,not_run,[],AI逐张检查150dpi预览，修订后以相同尺寸导出600dpi；不自动冻结论文论断。
Q4-06,Q4_06_月度日内电价经验分位带,月度日内电价经验分位带,分面分位带,Q4-C06,[AI-DRAFT — modeler must confirm: 不同月份价格分布与固定日型电价存在差异。],不同月份价格分布与固定日型电价存在差异。,阴影为当月日期样本10%—90%经验分位；不是置信区间。,月份样本未用于改变预测或选参；11个面板只承载各月日型结构。,data/raw/附件4.xlsx；src/common/forecasting.py:historical_price_scenarios,[AI-DRAFT — modeler must confirm: 诊断图],checked,passed,passed,not_run,[],AI逐张检查150dpi预览，修订后以相同尺寸导出600dpi；不自动冻结论文论断。
Q4-07,Q4_07_日均电价与日内价差联合结构,日均电价与日内价差联合结构,联合散点,Q4-C07,[AI-DRAFT — modeler must confirm: 日均价与日内幅度须分别观察，不能由均价推断套利空间。],日均价与日内幅度须分别观察，不能由均价推断套利空间。,每点对应一个真实评价日，共334天。,观察相关结构，不进行独立性或因果检验。,data/raw/附件4.xlsx；src/common/forecasting.py:historical_price_scenarios,[AI-DRAFT — modeler must confirm: 诊断图],checked,passed,passed,not_run,[],AI逐张检查150dpi预览，修订后以相同尺寸导出600dpi；不自动冻结论文论断。
Q4-08,Q4_08_实际电价与实际净负荷联合密度,实际电价与实际净负荷联合密度,六边形密度,Q4-C08,[AI-DRAFT — modeler must confirm: 实际价格与净负荷的联合结构影响事后结算。],实际价格与净负荷的联合结构影响事后结算。,"48,096个时段；净负荷=实际负荷-实际光伏。",实际量仅用于EDA，不作为未来决策输入；相关不等于因果。,data/raw/附件2.xlsx、附件4.xlsx,[AI-DRAFT — modeler must confirm: 诊断图],checked,passed,passed,not_run,[],AI逐张检查150dpi预览，修订后以相同尺寸导出600dpi；不自动冻结论文论断。
Q4-09,Q4_09_四发布时刻历史价格情景年龄雨云图,四发布时刻历史价格情景年龄雨云图,雨云,Q4-C09,[AI-DRAFT — modeler must confirm: 日内前缀匹配可能选择较远历史日，不限于最近7天。],日内前缀匹配可能选择较远历史日，不限于最近7天。,各组334×7个选择记录；半小提琴为密度、箱为中位数/IQR、散点固定种子抽334条。,选择记录相关且非独立样本；不做显著性推断。,data/raw/附件4.xlsx；src/common/forecasting.py:historical_price_scenarios,[AI-DRAFT — modeler must confirm: 诊断图],checked,passed,passed,not_run,[],AI逐张检查150dpi预览，修订后以相同尺寸导出600dpi；不自动冻结论文论断。
Q4-10,Q4_10_四时点七情景历史日期迁移矩阵,四时点七情景历史日期迁移矩阵,情景排名矩阵,Q4-C10,[AI-DRAFT — modeler must confirm: 00:00近邻日期与日内条件化情景具有不同历史年龄结构。],00:00近邻日期与日内条件化情景具有不同历史年龄结构。,334天、4组、每组7个历史日；00组按源码日期顺序，日内按距离排名。,并非情景权重矩阵；共同动作模型没有学习这些权重。,data/raw/附件4.xlsx；src/common/forecasting.py:historical_price_scenarios,[AI-DRAFT — modeler must confirm: 诊断图],checked,passed,passed,not_run,[],AI逐张检查150dpi预览，修订后以相同尺寸导出600dpi；不自动冻结论文论断。
