figure_id,paper_role,figure_path,claim_id,figure_type,plot_family,plot_type,why_this_plot,source_table,source_script,run_id,caption,post_figure_conclusion,risk_note,validation_status,render_check_status,human_visual_check,visual_check_note
q1_dispatch_overview,mechanism,results/Q1/figures/scipilot_cn/q1_dispatch_overview.png,Q1-C01,多序列时序线,time-series,多序列时序线,同一时间轴展示负荷、光伏与计划购电的供需关系,results/Q1/experiments/round1/tables/q1_schedule.csv,src/Q1/generate_q1_figures.py,Q1-round1-scipilot-figures,Q1典型日负荷、光伏预测与计划购电功率,日间光伏降低外网购电需求，早晚时段主要依赖外网与储能协同供能,仅反映确定性典型日,checked,passed,passed,Passed AI review at final size in color and grayscale; Chinese labels verified.
q1_soc_trajectory,mechanism,results/Q1/figures/scipilot_cn/q1_soc_trajectory.png,Q1-C02,边界轨迹线,time-series,边界轨迹线,SOC轨迹与上下界能直接证明可行性和循环约束,results/Q1/experiments/round1/tables/q1_schedule.csv,src/Q1/generate_q1_figures.py,Q1-round1-scipilot-figures,储能SOC轨迹及运行上下界,SOC始终位于1200至10800 kWh并在日末回到6000 kWh,浮点误差按1e-6 kWh容差解释,checked,passed,passed,Passed AI review at final size in color and grayscale; Chinese labels verified.
q1_price_response,mechanism,results/Q1/figures/scipilot_cn/q1_price_response.png,Q1-C03,阶梯线与区间填色,time-series,阶梯线与区间填色,在电价曲线上直接标注充放电时段而不使用双Y轴,results/Q1/experiments/round1/tables/q1_schedule.csv,src/Q1/generate_q1_figures.py,Q1-round1-scipilot-figures,分时电价与储能充放电时段,充电主要发生于低价或光伏富余阶段，放电集中在较高价阶段,阴影表示动作发生而非动作强度,checked,passed,passed,Passed AI review at final size in color and grayscale; Chinese labels verified.
q1_energy_supply_composition,mechanism,results/Q1/figures/scipilot_cn/q1_energy_supply_composition.png,Q1-C04,堆叠面积图,composition,堆叠面积图,展示外网光伏和储能共同满足系统需求的时间构成,results/Q1/experiments/round1/tables/q1_schedule.csv,src/Q1/generate_q1_figures.py,Q1-round1-scipilot-figures,负荷供能构成及储能充电需求,光伏优先消纳，储能放电与外网购电共同覆盖剩余负荷,光伏利用量由逐时能量平衡反推,checked,passed,passed,Passed AI review at final size in color and grayscale; Chinese labels verified.
q1_method_cost_comparison,claim,results/Q1/figures/scipilot_cn/q1_method_cost_comparison.png,Q1-C05,横向点图,comparison,横向点图,确定性方法比较用点图避免将三项数值夸张为柱面积,results/Q1/experiments/round1/metrics/metrics.json,src/Q1/generate_q1_figures.py,Q1-round1-scipilot-figures,无储能连续LP与离散DP的购电费用比较,连续LP费用最低且50 kWh网格DP已接近LP结果,DP用于离散交叉验证而非同等主模型,checked,passed,passed,Passed AI review at final size in color and grayscale; Chinese labels verified.
q1_cost_savings,claim,results/Q1/figures/scipilot_cn/q1_cost_savings.png,Q1-C06,瀑布图,comparison,瀑布图,只保留一张能表达费用差额的必要柱形图,results/Q1/experiments/round1/metrics/metrics.json,src/Q1/generate_q1_figures.py,Q1-round1-scipilot-figures,储能优化带来的购电费用下降,Q1-M2相较无储能基线节省约26.90%,仅适用于附件1确定性典型日,checked,passed,passed,Passed AI review at final size in color and grayscale; Chinese labels verified.
q1_net_load_surplus,mechanism,results/Q1/figures/scipilot_cn/q1_net_load_surplus.png,Q1-C07,正负面积图,time-series,正负面积图,净负荷正负直接对应供电缺口和光伏富余,results/Q1/experiments/round1/tables/q1_schedule.csv,src/Q1/generate_q1_figures.py,Q1-round1-scipilot-figures,净负荷与光伏富余时段,日间光伏富余为储能充电创造条件，早晚净负荷由储能和外网共同承担,未展示预测误差,checked,passed,passed,Passed AI review at final size in color and grayscale; Chinese labels verified.
q1_cumulative_energy_balance,diagnostic,results/Q1/figures/scipilot_cn/q1_cumulative_energy_balance.png,Q1-C08,累计闭合曲线,time-series,累计闭合曲线,累计供需曲线用于审计全天能量闭合,results/Q1/experiments/round1/tables/q1_schedule.csv,src/Q1/generate_q1_figures.py,Q1-round1-scipilot-figures,累计供给与累计需求能量,两条累计曲线在数值容差内闭合,用于可行性诊断不单独支持成本优越性,checked,passed,passed,Passed AI review at final size in color and grayscale; Chinese labels verified.
q1_constraint_slack,diagnostic,results/Q1/figures/scipilot_cn/q1_constraint_slack.png,Q1-C09,双裕度曲线,time-series,双裕度曲线,两条SOC裕度曲线直接展示边界是否被违反,results/Q1/experiments/round1/tables/q1_schedule.csv,src/Q1/generate_q1_figures.py,Q1-round1-scipilot-figures,储能SOC上下界裕度,所有SOC裕度均非负且部分时段达到边界,仅检查已实现调度,checked,passed,passed,Passed AI review at final size in color and grayscale; Chinese labels verified.
q1_balance_residual,diagnostic,results/Q1/figures/scipilot_cn/q1_balance_residual.png,Q1-C10,残差折线,time-series,残差折线,残差随时间显示局部能量平衡是否成立,results/Q1/experiments/round1/tables/q1_schedule.csv,src/Q1/generate_q1_figures.py,Q1-round1-scipilot-figures,逐时能量平衡残差,逐时残差维持在数值容差范围内,光伏利用与弃光由平衡关系推导,checked,passed,passed,Passed AI review at final size in color and grayscale; Chinese labels verified.
q1_dp_convergence,diagnostic,results/Q1/figures/scipilot_cn/q1_dp_convergence.png,Q1-C11,收敛曲线,ordered,收敛曲线,有序网格尺度适合用折线展示近似误差收敛,results/Q1/experiments/round1/tables/q1_dp_grid_convergence.csv,src/Q1/generate_q1_figures.py,Q1-round1-scipilot-figures,动态规划SOC网格加密收敛性,SOC网格由400 kWh细化至50 kWh时费用差距降至约0.79%,尚无50 kWh以下网格结果,checked,passed,passed,Passed AI review at final size in color and grayscale; Chinese labels verified.
